classification,total_trades,total_pnl,avg_pnl,median_pnl,pnl_std,win_rate,avg_trade_size,total_volume,sharpe_proxy,sentiment_score
Extreme Fear,21400,739110.24849,34.53786207897196,0.0,1136.0560914312027,0.370607476635514,5349.7318429906545,114484261.44,0.030401546490042394,0
Fear,61837,3357155.441642,54.2903996254993,0.0,935.3554378356772,0.42076750165758364,7816.109930785776,483324789.79,0.05804253381053093,1
Neutral,37686,1292920.67555,34.30771839807886,0.0,517.1222197292019,0.3969909250119408,4782.732661465797,180242063.08,0.0663435394750166,2
Greed,50303,2150129.272951,42.74355948851957,0.0,1116.028389757626,0.38482794266743536,5736.884375086974,288582494.72,0.0382997062447167,3
Extreme Greed,39992,2715171.310673,67.89286133909282,0.0,766.8282935916445,0.46494298859771954,3112.2515645629123,124465164.57,0.08853724087436834,4
